127.0.0.1 - - [01/Jul/2022:22:40:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:44:34 +0900] "GET /Petist/ HTTP/1.1" 200 16109
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:44:34 +0900] "GET /Petist/resources/common/logo.png HTTP/1.1" 200 2694
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:44:35 +0900] "GET /Petist/mianHospitalList.ho HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:44:35 +0900] "GET /Petist/resources/hospital/review-icon.png HTTP/1.1" 200 11362
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:44:37 +0900] "GET /Petist/loginEnroll.us HTTP/1.1" 200 6955
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:44:41 +0900] "POST /Petist/login.us HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:44:41 +0900] "GET /Petist HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:44:41 +0900] "GET /Petist/ HTTP/1.1" 200 16422
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:44:42 +0900] "GET /Petist/mianHospitalList.ho HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:44:43 +0900] "GET /Petist/start.pe HTTP/1.1" 200 5198
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:44:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:44:44 +0900] "GET /Petist/list.pe HTTP/1.1" 200 6442
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:44:46 +0900] "GET /Petist/enrollForm.pe HTTP/1.1" 200 7054
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:45:00 +0900] "POST /Petist/insert.pe HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:45:00 +0900] "GET /Petist/list.pe HTTP/1.1" 200 6470
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:45:02 +0900] "GET /Petist/enrollForm.pe HTTP/1.1" 200 7054
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:45:02 +0900] "GET /Petist/resources/common/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:47:36 +0900] "GET /Petist/ HTTP/1.1" 200 16404
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:47:36 +0900] "GET /Petist/resources/common/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:47:36 +0900] "GET /Petist/mianHospitalList.ho HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:47:36 +0900] "GET /Petist/resources/hospital/review-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:47:38 +0900] "GET /Petist/start.pe HTTP/1.1" 200 5198
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:47:38 +0900] "GET /Petist/list.pe HTTP/1.1" 200 6442
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:56:53 +0900] "GET /Petist/ HTTP/1.1" 200 16404
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:56:53 +0900] "GET /Petist/resources/common/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:56:53 +0900] "GET /Petist/mianHospitalList.ho HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:56:53 +0900] "GET /Petist/resources/hospital/review-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:56:53 +0900] "GET /Petist/ HTTP/1.1" 200 16404
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:56:53 +0900] "GET /Petist/mianHospitalList.ho HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:56:53 +0900] "GET /Petist/ HTTP/1.1" 200 16404
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:56:53 +0900] "GET /Petist/mianHospitalList.ho HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [01/Jul/2022:22:56:54 +0900] "GET /Petist/ HTTP/1.1" 200 16404
