127.0.0.1 - - [19/Jul/2022:17:04:11 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:04:25 +0900] "GET /Petist/ HTTP/1.1" 200 8563
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:04:25 +0900] "GET /Petist/resources/common/logo.png HTTP/1.1" 200 2694
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:04:25 +0900] "GET /Petist/resources/common/main-hospital-001.png HTTP/1.1" 200 82536
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:04:25 +0900] "GET /Petist/resources/common/main-animal1.png HTTP/1.1" 200 103183
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:04:25 +0900] "GET /Petist/resources/common/main-animal2.png HTTP/1.1" 200 18932
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:04:25 +0900] "GET /Petist/resources/common/main-001.png HTTP/1.1" 200 54944
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:04:25 +0900] "GET /Petist/resources/common/main-hospital-002.png HTTP/1.1" 200 35608
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:04:25 +0900] "GET /Petist/resources/common/wagleqa.png HTTP/1.1" 200 125552
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:04:25 +0900] "GET /Petist/resources/common/main.jpg HTTP/1.1" 200 765346
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:04:25 +0900] "GET /Petist/resources/common/logo_mint.png HTTP/1.1" 200 6837
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:36:42 +0900] "GET /Petist/loginEnroll.us HTTP/1.1" 200 9811
